Feature Name,Feature Type,Nominal,Upper Tolerance,Lower Tolerance,Actual,Deviation
CIR1,Circularity,0.0,0.05,-0.05,0.031259,0.031259
CYL1,Cylindricity,0.0,0.04,-0.04,0.010207,0.010207
FLAT1,Flatness,0.0,0.03,-0.03,0.014841,0.014841
STR1,Straightness,0.0,0.025,-0.025,0.003942,0.003942
POS1,Position,0.0,0.1,-0.1,0.005701,0.005701
CON1,Concentricity,0.0,0.06,-0.06,0.022538,0.022538
DIA1,Diameter,25.0,0.05,-0.05,25.010674,0.010674
ANG1,Angularity,0.0,0.05,-0.05,0.028132,0.028132
PERP1,Perpendicularity,0.0,0.04,-0.04,0.022986,0.022986
PAR1,Parallelism,0.0,0.03,-0.03,0.006905,0.006905
RUN1,Runout,0.0,0.05,-0.05,0.026932,0.026932
TRUN1,Total Runout,0.0,0.06,-0.06,0.01998,0.01998
POL1,Profile of a Line,0.0,0.08,-0.08,0.036965,0.036965
POS2,Profile of a Surface,0.0,0.1,-0.1,0.046298,0.046298
